Date,HE,P/OP,Gen,RT_Busbar,RT_Hub,DA_Busbar,DA_Hub
2022-01-01,1,OP,0.0,60.36,59.995,58.032,57.679
2022-01-01,2,OP,0.0,58.136,58.136,60.56,60.242
2022-01-01,3,OP,0.0,60.427,59.958,57.497,57.397
2022-01-01,4,OP,0.0,66.687,65.837,58.376,58.286
2022-01-01,5,OP,0.0,66.094,65.153,60.473,60.3
2022-01-01,6,OP,0.0,79.128,78.199,74.943,74.599
2022-01-01,7,OP,0.0,89.81,88.827,82.324,81.8
2022-01-01,8,OP,20.9,84.849,83.551,75.106,74.703
2022-01-01,9,OP,87.3,52.873,52.177,52.493,52.244
2022-01-01,10,OP,91.3,38.303,38.678,38.385,38.233
2022-01-01,11,OP,85.7,16.193,17.521,32.963,32.979
2022-01-01,12,OP,81.1,12.386,12.902,26.694,26.565
2022-01-01,13,OP,81.2,14.425,14.287,25.969,25.855
2022-01-01,14,OP,85.8,13.652,13.51,28.065,27.954
2022-01-01,15,OP,90.7,14.428,14.247,31.174,31.084
2022-01-01,16,OP,81.8,35.705,35.358,53.622,53.522
2022-01-01,17,OP,16.4,77.057,76.647,81.228,80.735
2022-01-01,18,OP,0.0,103.377,102.495,90.854,90.33
2022-01-01,19,OP,0.0,92.346,90.973,90.891,90.245
2022-01-01,20,OP,0.0,91.304,90.079,87.3,86.645
2022-01-01,21,OP,0.0,80.435,79.543,81.86,81.366
2022-01-01,22,OP,0.0,80.146,79.496,78.537,78.137
2022-01-01,23,OP,0.0,78.988,78.183,75.064,74.697
2022-01-01,24,OP,0.0,74.935,74.085,65.139,64.953
2022-01-02,1,OP,0.0,65.291,64.634,65.068,64.661
2022-01-02,2,OP,0.0,68.045,67.32,62.752,62.457
2022-01-02,3,OP,0.0,64.228,63.667,62.4,62.349
2022-01-02,4,OP,0.0,62.462,61.66,62.038,62.0
2022-01-02,5,OP,0.0,63.18,62.4,64.076,63.919
2022-01-02,6,OP,0.0,65.077,64.266,72.761,72.56
2022-01-02,7,OP,0.0,100.271,98.934,74.872,74.642
2022-01-02,8,OP,20.4,79.734,78.543,70.508,70.224
2022-01-02,9,OP,85.5,57.619,56.941,51.488,51.39
2022-01-02,10,OP,89.7,31.392,32.136,38.356,38.257
2022-01-02,11,OP,84.6,19.352,20.661,28.515,31.317
2022-01-02,12,OP,80.0,18.301,19.582,25.324,26.53
2022-01-02,13,OP,80.0,20.945,22.042,25.061,24.975
2022-01-02,14,OP,84.4,14.709,16.294,25.753,25.692
2022-01-02,15,OP,88.9,25.732,26.892,29.86,29.815
2022-01-02,16,OP,80.6,58.033,57.93,51.514,51.492
2022-01-02,17,OP,16.6,96.405,96.405,75.581,75.192
2022-01-02,18,OP,0.0,100.101,98.896,90.436,89.97
2022-01-02,19,OP,0.0,95.829,94.6,87.82,87.34
2022-01-02,20,OP,0.0,91.616,90.642,86.556,85.986
2022-01-02,21,OP,0.0,84.532,83.704,82.628,82.111
2022-01-02,22,OP,0.0,83.342,82.692,75.84,75.452
2022-01-02,23,OP,0.0,72.016,71.546,70.325,69.916
2022-01-02,24,OP,0.0,68.438,67.992,67.649,67.539
2022-01-03,1,OP,0.0,64.016,63.871,65.964,65.648
2022-01-03,2,OP,0.0,64.739,64.642,65.269,65.036
2022-01-03,3,OP,0.0,63.544,63.548,64.873,64.682
2022-01-03,4,OP,0.0,63.473,63.473,64.299,64.116
2022-01-03,5,OP,0.0,67.83,67.75,66.351,66.175
2022-01-03,6,OP,0.0,86.474,86.474,77.145,76.783
2022-01-03,7,P,0.0,118.814,118.636,102.691,102.155
2022-01-03,8,P,19.7,89.522,88.849,98.615,97.891
2022-01-03,9,P,85.0,74.364,74.263,72.988,73.087
2022-01-03,10,P,89.2,60.7,60.371,58.722,59.015
2022-01-03,11,P,84.1,54.908,53.645,47.839,48.585
2022-01-03,12,P,79.5,56.095,54.811,46.97,47.473
2022-01-03,13,P,79.4,52.609,51.262,46.589,47.041
2022-01-03,14,P,83.6,54.005,52.39,44.972,45.51
2022-01-03,15,P,88.2,57.916,57.304,47.477,47.955
2022-01-03,16,P,80.0,84.503,83.649,59.273,59.41
2022-01-03,17,P,17.0,106.337,105.552,88.887,88.84
2022-01-03,18,P,0.0,105.2,105.2,118.615,118.393
2022-01-03,19,P,0.0,101.024,100.325,106.066,106.011
2022-01-03,20,P,0.0,91.122,90.621,96.689,96.578
2022-01-03,21,P,0.0,91.5,91.109,87.611,87.565
2022-01-03,22,P,0.0,75.548,75.499,76.846,77.021
2022-01-03,23,OP,0.0,74.825,75.079,73.844,73.821
