Date,HE,P/OP,Gen,RT_Busbar,RT_Hub,DA_Busbar,DA_Hub
2022-01-01,1,OP,36.8,0.74,56.428,5.2,30.17
2022-01-01,2,OP,17.0,-3.782,29.242,1.54,22.08
2022-01-01,3,OP,14.6,-4.0,22.145,1.83,19.97
2022-01-01,4,OP,14.6,-4.0,19.585,2.5,15.9
2022-01-01,5,OP,14.4,-4.0,13.662,-1.34,10.0
2022-01-01,6,OP,14.0,-4.055,11.57,0.08,12.93
2022-01-01,7,OP,13.7,-4.058,10.25,0.86,13.76
2022-01-01,8,OP,14.5,-4.0,10.382,5.87,14.88
2022-01-01,9,OP,12.2,-5.345,8.942,8.84,15.74
2022-01-01,10,OP,0.0,-14.808,-0.04,12.33,16.83
2022-01-01,11,OP,1.6,-5.078,19.048,19.48,19.87
2022-01-01,12,OP,15.4,9.258,21.255,24.99,24.03
2022-01-01,13,OP,7.7,25.97,26.228,27.98,26.02
2022-01-01,14,OP,2.9,27.6,27.665,30.75,27.94
2022-01-01,15,OP,1.8,28.342,28.078,35.64,29.42
2022-01-01,16,OP,7.0,55.745,31.245,34.51,28.08
2022-01-01,17,OP,5.4,51.9,29.695,38.27,32.78
2022-01-01,18,OP,5.2,42.628,28.21,47.07,43.72
2022-01-01,19,OP,9.1,25.295,24.432,29.09,28.79
2022-01-01,20,OP,23.1,22.788,22.768,25.66,25.55
2022-01-01,21,OP,20.7,22.272,22.36,22.93,22.79
2022-01-01,22,OP,19.2,21.648,21.84,22.58,22.47
2022-01-01,23,OP,30.8,20.282,20.185,23.91,23.8
2022-01-01,24,OP,20.1,17.352,17.362,23.23,23.15
2022-01-02,1,OP,14.5,6.882,6.882,26.56,26.43
2022-01-02,2,OP,8.8,7.328,7.308,24.64,24.59
2022-01-02,3,OP,6.0,6.65,6.63,23.51,23.67
2022-01-02,4,OP,59.8,9.068,9.21,15.85,21.37
2022-01-02,5,OP,32.3,-3.248,9.665,-3.44,20.29
2022-01-02,6,OP,14.1,-4.0,16.702,-3.07,22.24
2022-01-02,7,OP,14.3,-4.01,14.938,-4.0,25.32
2022-01-02,8,OP,14.2,-4.025,16.402,-1.49,30.75
2022-01-02,9,OP,14.7,-4.0,17.542,0.58,36.24
2022-01-02,10,OP,14.4,-4.0,17.535,-1.38,30.71
2022-01-02,11,OP,14.2,-4.0,20.732,-1.16,29.54
2022-01-02,12,OP,14.4,-4.0,22.44,-1.54,28.66
2022-01-02,13,OP,14.5,-4.0,19.85,-3.22,26.78
2022-01-02,14,OP,14.5,-4.0,19.135,-5.98,24.02
2022-01-02,15,OP,14.4,-4.0,16.275,-6.54,23.46
2022-01-02,16,OP,14.5,-4.008,13.785,-6.87,23.13
2022-01-02,17,OP,1.2,-12.045,14.27,-2.32,27.69
2022-01-02,18,OP,0.1,-18.35,25.738,40.99,74.78
2022-01-02,19,OP,12.5,-4.322,30.74,60.69,89.05
2022-01-02,20,OP,17.6,-3.752,34.995,55.58,69.43
2022-01-02,21,OP,48.5,-0.44,36.425,50.6,61.11
2022-01-02,22,OP,54.0,27.13,36.2,39.62,47.82
