Date,HE,P/OP,Gen,RT_Busbar,RT_Hub,DA_Busbar,DA_Hub
2022-01-01,1,OP,15.4,20.57,21.01,5.2,22.16
2022-01-01,2,OP,19.6,20.87,22.41,5.61,22.02
2022-01-01,3,OP,16.4,20.84,20.6,3.9,22.34
2022-01-01,4,OP,17.5,20.32,21.79,4.65,22.27
2022-01-01,5,OP,24.4,19.88,21.54,4.82,22.29
2022-01-01,6,OP,15.0,19.44,21.0,3.81,22.26
2022-01-01,7,OP,5.5,20.96,22.46,4.1,22.44
2022-01-01,8,OP,4.4,21.02,22.41,3.01,26.05
2022-01-01,9,OP,12.0,21.51,23.06,3.41,28.13
2022-01-01,10,OP,8.3,22.34,23.74,7.68,32.72
2022-01-01,11,OP,3.5,23.01,24.07,12.0,34.56
2022-01-01,12,OP,0.3,26.56,27.72,10.92,37.52
2022-01-01,13,OP,1.4,27.48,28.74,9.12,37.38
2022-01-01,14,OP,4.3,26.0,27.28,10.44,35.63
2022-01-01,15,OP,3.4,25.81,27.02,8.45,34.95
2022-01-01,16,OP,4.1,25.12,26.27,9.6,38.62
2022-01-01,17,OP,0.9,25.34,26.45,9.79,35.0
2022-01-01,18,OP,3.8,28.3,29.68,16.88,45.03
2022-01-01,19,OP,12.0,30.39,32.21,28.09,55.0
2022-01-01,20,OP,16.7,28.8,30.63,23.5,48.95
2022-01-01,21,OP,13.2,27.65,29.59,18.09,43.84
2022-01-01,22,OP,2.0,29.37,31.26,20.61,45.5
2022-01-01,23,OP,2.8,28.55,30.19,27.74,48.9
2022-01-01,24,OP,8.5,29.51,30.98,29.7,44.39
2022-01-02,1,OP,7.6,26.76,28.04,31.9,35.21
2022-01-02,2,OP,4.0,26.23,27.26,31.9,35.43
2022-01-02,3,OP,8.1,25.77,26.73,29.64,35.0
2022-01-02,4,OP,7.8,26.05,27.0,29.59,32.58
2022-01-02,5,OP,10.4,26.84,27.67,28.9,33.65
2022-01-02,6,OP,6.8,25.76,26.88,30.7,33.86
2022-01-02,7,OP,11.3,26.91,28.24,31.87,37.36
2022-01-02,8,OP,25.1,29.6,31.44,28.39,39.26
2022-01-02,9,OP,22.4,31.03,40.68,32.33,47.0
2022-01-02,10,OP,39.7,34.13,40.75,41.1,51.64
2022-01-02,11,OP,57.1,18.64,39.84,44.85,55.84
2022-01-02,12,OP,37.6,19.9,37.74,41.53,56.69
2022-01-02,13,OP,18.0,7.18,36.86,31.97,49.8
2022-01-02,14,OP,30.6,30.6,37.3,29.46,45.31
2022-01-02,15,OP,35.0,18.09,35.11,25.9,37.86
2022-01-02,16,OP,39.3,10.77,34.23,20.6,38.21
2022-01-02,17,OP,42.7,39.47,56.54,20.2,39.03
2022-01-02,18,OP,1.6,-23.76,35.79,26.32,47.77
2022-01-02,19,OP,0.0,-18.46,33.9,24.6,46.61
2022-01-02,20,OP,41.1,-1.53,32.59,16.84,38.8
2022-01-02,21,OP,1.6,-20.46,33.76,15.59,37.02
2022-01-02,22,OP,0.0,-22.83,30.53,13.95,35.18
2022-01-02,23,OP,31.8,-6.54,26.4,9.0,30.14
2022-01-02,24,OP,56.9,-0.36,25.02,7.98,27.98
2022-01-03,1,OP,64.6,0.38,22.33,12.55,33.74
2022-01-03,2,OP,80.8,2.97,22.1,9.52,30.38
2022-01-03,3,OP,85.6,13.01,22.97,13.2,32.96
2022-01-03,4,OP,76.0,21.56,24.4,14.2,33.6
2022-01-03,5,OP,52.9,22.33,24.77,14.87,32.71
2022-01-03,6,OP,41.5,22.72,24.78,14.66,34.74
2022-01-03,7,OP,32.9,25.2,27.07,13.79,39.41
2022-01-03,8,P,14.4,29.78,31.66,28.68,58.6
2022-01-03,9,P,2.9,33.91,35.51,32.39,55.88
2022-01-03,10,P,2.3,34.75,35.91,36.06,52.12
2022-01-03,11,P,9.1,35.04,36.48,36.94,50.68
2022-01-03,12,P,0.6,42.14,43.24,38.2,49.66
2022-01-03,13,P,0.1,42.14,43.58,35.13,45.34
2022-01-03,14,P,10.3,90.6,94.98,34.73,42.68
2022-01-03,15,P,11.0,30.7,32.65,31.08,39.39
2022-01-03,16,P,15.2,41.54,37.86,30.92,38.14
2022-01-03,17,P,13.4,27.83,31.86,31.5,37.41
2022-01-03,18,P,15.5,23.59,38.72,36.33,43.56
2022-01-03,19,P,14.6,27.09,33.6,32.7,45.36
2022-01-03,20,P,26.6,25.53,29.15,30.15,41.44
2022-01-03,21,P,38.7,25.55,29.85,27.33,36.89
2022-01-03,22,P,38.8,25.82,29.96,26.06,34.16
2022-01-03,23,P,28.1,23.0,28.89,23.48,29.78
2022-01-03,24,OP,24.6,20.82,24.73,21.55,27.18
2022-01-04,1,OP,18.7,22.35,24.44,16.59,24.85
2022-01-04,2,OP,23.9,27.19,23.45,10.7,22.88
2022-01-04,3,OP,12.7,-2.4,11.58,8.52,21.2
2022-01-04,4,OP,11.9,-2.32,15.22,7.45,19.34
2022-01-04,5,OP,14.4,-1.22,14.37,3.7,20.78
2022-01-04,6,OP,42.4,8.68,24.7,2.62,20.86
2022-01-04,7,OP,46.6,0.62,25.26,4.0,22.39
2022-01-04,8,P,61.7,7.3,34.07,6.0,30.31
2022-01-04,9,P,77.1,7.9,39.35,8.78,26.16
2022-01-04,10,P,57.0,27.71,35.38,10.8,25.72
2022-01-04,11,P,35.2,51.99,41.69,18.21,27.16
2022-01-04,12,P,7.2,178.71,88.82,20.45,27.56
2022-01-04,13,P,0.4,108.99,59.87,14.03,25.45
2022-01-04,14,P,0.0,38.17,32.44,12.79,24.46
2022-01-04,15,P,0.3,24.67,27.42,13.65,25.77
2022-01-04,16,P,16.1,27.94,33.46,6.01,22.86
2022-01-04,17,P,36.7,14.09,32.23,3.57,22.22
2022-01-04,18,P,16.3,-4.22,78.05,-0.6,23.12
2022-01-04,19,P,2.3,-5.74,46.54,-3.5,24.21
2022-01-04,20,P,0.0,-20.59,34.81,-9.09,25.78
2022-01-04,21,P,0.0,-25.26,26.44,-10.13,25.96
2022-01-04,22,P,0.0,-7.97,23.45,-9.8,24.04
2022-01-04,23,P,0.0,-5.49,18.73,-8.33,23.41
2022-01-04,24,OP,0.0,-9.15,19.54,-9.03,22.35
2022-01-05,1,OP,0.0,-12.51,18.57,-0.75,20.04
2022-01-05,2,OP,0.0,-13.7,12.46,-2.59,18.47
2022-01-05,3,OP,0.0,-9.05,15.18,-3.4,18.15
2022-01-05,4,OP,0.0,-11.03,16.58,-2.66,16.82
2022-01-05,5,OP,0.0,-4.03,19.87,-3.83,17.73
2022-01-05,6,OP,0.0,-6.18,22.0,-1.89,19.8
2022-01-05,7,OP,0.0,-3.49,26.72,-4.58,21.42
2022-01-05,8,P,46.1,-0.35,36.63,1.74,29.26
2022-01-05,9,P,13.6,-1.75,40.95,-1.0,28.66
2022-01-05,10,P,0.0,-12.63,62.48,0.33,27.04
2022-01-05,11,P,0.0,-8.5,42.88,1.0,27.8
2022-01-05,12,P,0.1,-7.53,32.51,0.12,27.43
2022-01-05,13,P,0.0,-6.69,31.08,0.0,26.69
2022-01-05,14,P,0.0,-6.68,30.93,-0.22,30.8
2022-01-05,15,P,0.0,-7.81,25.26,-0.12,26.16
2022-01-05,16,P,0.0,-6.93,28.65,-0.87,28.39
2022-01-05,17,P,0.0,-7.15,29.07,0.56,29.0
2022-01-05,18,P,1.8,-4.48,84.62,7.77,34.3
2022-01-05,19,P,15.4,-1.8,70.67,10.77,38.99
2022-01-05,20,P,1.2,-10.42,36.76,8.43,37.12
2022-01-05,21,P,0.1,-10.84,32.66,9.33,37.12
2022-01-05,22,P,0.0,-8.37,32.0,9.21,35.38
2022-01-05,23,P,0.5,-5.87,30.73,11.79,35.87
2022-01-05,24,OP,0.4,-5.85,29.51,9.73,30.7
2022-01-06,1,OP,0.0,-7.24,24.54,9.36,33.94
2022-01-06,2,OP,0.0,-8.24,23.11,6.44,30.8
2022-01-06,3,OP,0.8,-7.01,26.25,4.96,26.92
2022-01-06,4,OP,0.0,-7.76,22.67,6.72,27.0
